Location,Utility,Units,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,
Kew site,Electricity,kWh,01/01/2011,298.8,275.4,269.8,265.2,266.8,280,272,267.8,280.6,291.8,283.6,272.8,271.2,276.8,281,274.4,275,275.4,271,278,274.4,269.2,268.8,272,290.6,278.2,277,267.4,280.2,277,272.2,274,285.4,281.2,283.2,282.4,287.4,280,273.8,268.2,278,269.6,277.6,277,281,271.6,270.2,269.6,13264.6
Kew site,Electricity,kWh,02/01/2011,276.6,267,267.8,273.6,272.8,264.8,268,266.8,275.8,268.4,279.4,280.8,288,281.4,276,275.2,269.2,270.2,279,268.6,271.4,276,283.2,291,280.8,274,274.6,276.6,284.6,289.2,286.6,291,282,278,279.6,279.6,279.4,277.4,270.2,278.8,270.4,277.4,274.6,336.4,308.4,301.4,298.2,317.4,13457.6
Kew site,Electricity,kWh,03/01/2011,303.6,318,319,321.4,316.6,314.8,318.4,324.6,318.6,316.2,307.6,310.8,329.8,328.4,325,328,325.2,333.4,340.6,329.6,329,316.2,321,327.8,319.2,319.6,319.4,324.8,327.8,323,323.4,329,337.6,331.8,324.4,318.8,312.8,310,306.2,304.6,301.2,312,315.6,318.2,315,314.8,307.2,308.6,15348.6
Kew site,Electricity,kWh,04/01/2011,282.2,268.8,265.2,271.2,273.6,272.4,277.2,272.4,273.2,269.2,275,307,430.2,521.8,554.8,621,682.2,696,744.6,750.8,759.4,757.2,767,777.4,771.6,776,774.4,777.4,778.8,762.2,764.4,759.2,725.2,706,673.2,656.4,586.8,542,504.6,476.6,476.6,467.6,436,432.4,429,430,416.6,406.8,25899.6
Kew site,Electricity,kWh,05/01/2011,364.2,409.2,420.6,411.6,414.2,406.6,425.8,421.8,415.6,410.4,422.8,431.8,480.4,497.6,506,563.2,630.6,664.6,728.8,741.6,760,765.4,774.6,781.2,786,773.6,771.8,764.6,779.4,770.8,750.4,755,714.6,671.8,623.4,580.8,524.8,495.4,470,453.6,448.6,451.4,436,426.6,420.8,424.6,427,425,26994.6
Kew site,Electricity,kWh,06/01/2011,427,427.2,430,424.8,430,416.4,417.8,418.2,412.6,410.6,410.4,421.8,478,491.8,485.2,547.6,631.8,656.6,712,734.6,746.8,761.8,768.6,772.8,775.4,777.2,772.2,765.8,774.8,780,775,753.8,714.8,707.4,681.6,648,583,534.2,507.8,474.6,459.2,456.6,447,434.8,432.4,415,421.6,425,27351.6
Kew site,Electricity,kWh,07/01/2011,412,459.4,435.4,430.2,424.6,429,431.4,417.4,420.8,422.2,430.8,424.2,480.4,493.4,498,543.6,604.6,644.8,718.6,753.2,746.4,750.6,754.6,781.2,761.4,753,753.4,752.8,769.6,785.8,783,785.8,745,719,683.2,643.8,572.2,543.2,520.8,508,507,499,489.6,482.8,475.2,476.2,468.4,467.8,27852.8
Kew site,Electricity,kWh,08/01/2011,483.4,477,477.4,471,476.6,479.4,481.2,472,468.2,470.6,479.8,489,490.4,490.2,508.2,532,564.8,599.4,655.6,666.6,673.2,667.4,658.2,647.2,653,654,641.6,652.6,644.6,638.4,625.2,628.2,571,576.2,554.4,523.6,530.6,487.4,461.8,451,446,450.8,443.8,439.4,426.2,431.8,428.8,433.6,25672.8
Kew site,Electricity,kWh,09/01/2011,444,430.8,435.4,430.2,437,438.4,434,431,433.2,438.6,430,423.8,430.4,432,444.6,438.8,430.4,436.4,441,456.6,441.4,437.4,439.6,447.2,455.6,441,444.2,438.6,445.4,451.4,451.2,451,447,446,450.8,448,440.4,439.2,440,441.8,454,448.4,441,437,443.2,437.6,438.2,440,21153.2
Kew site,Electricity,kWh,10/01/2011,439.4,438.8,444.2,442.4,438.4,437.2,442.6,444.4,439.6,439,447,451.2,498.8,500.4,503.2,541.8,606.8,630.4,674.2,700,715.8,711.4,708.2,711.4,728.4,723.8,717.6,713.4,716.4,731.8,713.6,709,660.8,655.4,605.2,582.8,530.2,494.4,464,450.2,441.4,462.2,451.6,446.8,429.6,425.4,428.8,440.2,26529.6
